FEN,Moves
2r3k1/5pp1/4p2p/QP2P3/1r6/8/5PPP/R5NK w - - 1 37,"[None, 'a5b4', 'f7f5']"
r1bqk2r/1pp2ppp/p1n2n2/1B1p4/1b1P1B2/2N2N2/PPP2PPP/R2QK2R w KQkq - 0 8,"[None, 'b5c6']"
r1bqk2r/2p2ppp/p1n2n2/1p1p4/3P1B2/1Bb2N2/PPP2PPP/R2QK2R w KQkq - 0 10,"[None, 'b2c3', 'e8g8']"
r4rk1/2pq1ppp/8/1p1bn3/p2PnB2/P1PQ4/2P2PPP/R3R1K1 w - - 0 18,"[None, 'd4e5', 'd7c6']"
5rk1/5ppp/8/1p2B3/p1bP2P1/P3nP2/2r4P/1RR3K1 w - - 0 26,"[None, 'c1c2']"
r2qkbnr/ppp1pppp/2n5/8/2pP1Bb1/2N2N2/PP2PPPP/R2QKB1R b KQkq - 3 5,"[None, 'g4f3', 'e2f3', 'd8d4', 'd1d4']"
r2q1rk1/ppp2p2/2n1pn1p/6p1/2BP2b1/2N1PNb1/PP3PPP/R2Q1RK1 w - - 0 12,"[None, 'f2g3', 'd8e7']"
r4r2/ppp2pk1/2nqpn1p/6p1/2BP2b1/2NQPNP1/PP4PP/R4RK1 w - - 3 14,"[None, 'f3g5', 'h6g5', 'f1f6', 'g4f5', 'f6f5']"
r4r2/ppp2pk1/4pnbp/4n1p1/2BP2P1/2N1P1qP/PP2Q1P1/R4RK1 w - - 0 18,"[None, 'd4e5']"
r4r2/ppp2pk1/4p1bp/4P1p1/2B1n1P1/2N1P1qP/PP2Q1P1/R4RK1 w - - 1 19,"[None, 'c3e4']"
3r1r2/ppp2pk1/4p2p/4P1p1/2B1b1Pq/4P2P/PP2QRP1/R5K1 w - - 2 22,"[None, 'g1h2', 'h4f2', 'e2f2', 'g7h7']"
3r1r2/ppp2pk1/4p2p/4P1p1/2B1b1Pq/4P2P/PP2QRPK/R7 b - - 3 22,"[None, 'h4f2', 'e2f2']"
3r1r2/ppp2pk1/4p2p/4P1p1/2B3Pq/4P2P/PP2QRbK/R7 w - - 0 23,"[None, 'f2g2', 'f7f5', 'c4e6', 'c7c5', 'e6f5', 'f8f5', 'g4f5', 'h4e4']"
3r1r2/ppp3k1/4p2p/4Ppp1/2B3Pq/4P2P/PP2Q1RK/R7 w - f6 0 24,"[None, 'c4e6', 'g7h8', 'e6f5', 'f8f5', 'g4f5', 'h4e4']"
3r1r2/ppp3k1/4B2p/4P1p1/6pq/4P2P/PP2Q1RK/R7 w - - 0 25,"[None, 'e6g4', 'h6h5', 'g4h5', 'h4e4', 'g2g5', 'g7h8']"
4r3/pp4k1/4Pr1p/2p3p1/6Bq/1P2P2P/PQ4RK/R7 b - - 1 28,"[None, 'h4g4', 'h3g4']"
8/pp2r1k1/5r1p/2p3p1/6Bq/1P2P2P/PQ4RK/5R2 w - - 0 31,"[None, 'b2f6', 'g7g8', 'f6f8', 'g8h7', 'g4f5']"
6k1/pp2r3/5Q1p/2p3p1/6Bq/1P2P2P/P5RK/5R2 w - - 1 32,"[None, 'f6f8', 'g8h7', 'g4f5']"
r2qkbnr/pp1bpppp/2n5/1BppP3/3P4/2P5/PP3PPP/RNBQK1NR w KQkq - 3 6,"[None, 'b5c6']"
r2qk2r/1p1bbppp/p1n1p3/2PpP3/1P4Pn/2PB1N2/P4P1P/RNBQ1RK1 w kq - 1 12,"[None, 'f3h4']"
r2q1rk1/1p1b1ppp/4p3/p1Ppn3/1P4Pb/1NP5/P3BP1P/R1BQ1RK1 w - - 0 16,"[None, 'b3a5', 'a8a5', 'b4a5']"
r1r3k1/1N1b1ppp/4p1n1/3p4/6P1/2q3b1/P3BP1P/R2Q1RK1 w - - 0 24,"[None, 'h2g3', 'c3c7']"
r1r3k1/1N2qppp/4p3/1b1pn3/6P1/6P1/P4P2/1R1Q1RK1 w - - 0 28,"[None, 'b1b5']"
rnbq1rk1/ppp2ppp/5n2/3p4/3P4/1Bb2N2/PPP2PPP/R1BQK2R w KQ - 0 8,"[None, 'b2c3', 'f8e8']"
rn1q1rk1/ppp2ppp/5n2/3p4/3P4/1BP2b2/P1P2PPP/R1BQ1RK1 w - - 0 10,"[None, 'd1f3', 'd8d7']"
r2q1rk1/ppp2ppp/2n2n2/3B4/3P4/2P2Q2/P1P2PPP/R1B2RK1 b - - 0 11,"[None, 'd8d5', 'f3d5']"
r4rk1/ppp2ppp/3q1nn1/3P2B1/2P5/2Q5/P1P2PPP/R4RK1 w - - 5 16,"[None, 'g5f6']"
5rk1/p1Q2pp1/3P3p/8/2P2nn1/6P1/P1q2P1P/5RK1 w - - 0 25,"[None, 'g3f4', 'c2d3']"
r2q1rk1/pp3ppp/2nbpnb1/1N1p4/6P1/1B1P1N1P/PPP2P2/R1BQ1RK1 w - - 5 12,"[None, 'b5d6']"
rnbqk2r/ppp2ppp/4pn2/b2p2B1/2PP4/P1N5/1P2PPPP/R2QKBNR w KQkq - 1 6,"[None, 'b2b4', 'c7c5', 'b4a5', 'c5d4', 'g5f6', 'd8f6', 'c3b5', 'f6d8', 'd1d4', 'a7a6', 'd4g7', 'h8f8', 'b5c3', 'd8a5', 'c4d5', 'e6d5']"
rnbqk2r/ppp2ppp/1b2pn2/3p2B1/1PPP4/P1N5/4PPPP/R2QKBNR w KQkq - 1 7,"[None, 'c4c5', 'b6c5', 'b4c5', 'b7b6', 'c5b6', 'c7c5']"
rnbqk2r/ppp2ppp/4pn2/2bp2B1/1P1P4/P1N5/4PPPP/R2QKBNR w KQkq - 0 8,"[None, 'b4c5', 'b7b6', 'g5f6', 'g7f6', 'c5b6', 'a7b6']"
r1bqk2r/ppp2pp1/2n1pn1p/2Pp2B1/3P4/P1N1P3/5PPP/R2QKBNR w KQkq - 0 10,"[None, 'g5f6']"
r4rk1/pppb1pp1/2n1pq1p/1BPp4/3P4/PQN1P3/5PPP/R3K1NR w KQ - 4 13,"[None, 'b5c6', 'f6g5', 'c6d5', 'e6d5', 'b3d5', 'a8d8', 'd5g5']"
rr2b1k1/6p1/4p1qp/1NNp4/p2P4/P3P3/1R1Q2PP/1R4K1 b - - 0 28,"[None, 'e8b5', 'b2b5', 'g6b1', 'b5b1']"
rr4k1/6p1/4p1qp/1bNp4/p2P4/P3P3/1R1Q2PP/1R4K1 w - - 0 29,"[None, 'b2b5', 'g6b1', 'b5b1']"
rr4k1/6p1/4p1qp/1RNp4/p2P4/P3P3/3Q2PP/1R4K1 b - - 0 29,"[None, 'g6b1', 'b5b1']"
r5k1/6p1/4p1qp/1rNp4/p2P4/P3P3/3Q2PP/1R4K1 w - - 0 30,"[None, 'b1b5', 'a8f8']"
rnbqkbnr/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,"[None, 'd4e5', 'd5c4', 'd1d8']"
r1bqkbnr/pp3ppp/2p5/3Pp3/3n4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,"[None, 'f3e5', 'd4b5', 'c3b5']"
r1bqkbnr/pp3ppp/8/3pN3/3n4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 7,"[None, 'd1d4', 'a7a6']"
r2qkb1r/pp1n1ppp/4b3/1B1pN3/3Q4/2N1P3/PP3PPP/R1B1K2R w KQkq - 3 10,"[None, 'e5d7']"
r2qkb1r/1p1n1ppp/p3b3/1B1pN3/3Q4/2N1P3/PP3PPP/R1B2RK1 w kq - 0 11,"[None, 'b5d7', 'e6d7', 'e5d7']"
r2qkb1r/3n1ppp/p3b3/1p1pN3/B2Q4/2N1P3/PP3PPP/R1B2RK1 w kq - 0 12,"[None, 'e5d7']"
2rqkb1r/3n1ppp/p3b3/1p1pN3/3Q4/1BN1P3/PP3PPP/R1B2RK1 w k - 2 13,"[None, 'e5d7']"
2rq1rk1/6pp/p2b1p2/1p1Pnb2/4N3/1B6/PP3PPP/R1BQR1K1 w - - 6 20,"[None, 'e4d6']"
2rq1rk1/6pp/3b1pb1/pp1P4/2n1N3/PB5Q/1P3PPP/R1B1R1K1 w - - 1 23,"[None, 'e4d6']"
r2qk2r/p3bppp/1pn1pn2/2Pp4/3P2b1/P1N1BN2/1P3PPP/R2QKB1R w KQkq - 0 10,"[None, 'f1b5', 'd8c7', 'e3f4', 'c7f4', 'b5c6', 'e8d8', 'c5b6', 'g4f3', 'g2f3', 'f6d7', 'c6a8', 'd7b6']"
r2qk2r/4bppp/1pn1pn2/p1Pp4/1P1P2b1/P1N1BN2/5PPP/R2QKB1R w KQkq - 0 11,"[None, 'f1b5', 'e8g8', 'b5c6', 'g4f3', 'g2f3', 'a5b4', 'a3b4', 'a8a1', 'd1a1', 'e6e5', 'd4e5', 'f6g4']"
r2q1rk1/4bppp/2n1pn2/p1pp4/1P1P2b1/P1N1BN2/4BPPP/1R1QK2R w K - 0 13,"[None, 'b4c5', 'g4f3', 'e2f3', 'a8b8', 'b1b8']"
r2q1rk1/n3bppp/4p3/p1Pp1b2/3Pn3/P1NBBN2/5PPP/1R1Q1RK1 w - - 5 16,"[None, 'd3e4', 'f5e4', 'c3e4']"
2rq1rk1/n3bppp/4p3/p1Pp1b2/3Pn3/P1NBBN2/2Q2PPP/1R3RK1 w - - 7 17,"[None, 'c3e4', 'd5e4', 'd3e4', 'd8d5', 'e4d5']"
2rq1rk1/n3bppp/4p3/p1P5/3Pb3/P3BN2/2Q2PPP/1R3RK1 w - - 0 19,"[None, 'c2e4', 'd8e8']"
2r2rk1/3q1pp1/1Rn1pb1p/8/p2PQ3/P3B2P/3N1PP1/2R3K1 w - - 0 26,"[None, 'c1c6', 'f6e7']"
5rk1/3q1pp1/2r1pb1p/8/p2PQ3/P3B2P/3N1PP1/2R3K1 w - - 0 27,"[None, 'c1c6', 'f6e7']"
4r1k1/5pp1/5q1p/P1b5/3N4/1Q2B2P/5PP1/2R3K1 w - - 1 35,"[None, 'c1c5', 'g7g6']"
4r1k1/PQ3pp1/3q3p/8/3b4/4B2P/5PP1/3R2K1 w - - 0 39,"[None, 'e3d4', 'e8d8']"
4r1k1/PQ3pp1/7p/8/3q4/4B2P/5PP1/6K1 w - - 0 40,"[None, 'e3d4', 'e8f8']"
6k1/PQ3pp1/7p/8/3B4/7P/5PPK/4r3 b - - 2 41,"[None, 'e1e8', 'a7a8q', 'e8f8', 'a8a2']"
r2qkb1r/pp1b1ppp/2n1p3/1Bp5/3P1B2/2n1PN2/PP3PPP/R2QK2R w KQkq - 0 9,"[None, 'b2c3', 'd8a5']"
1k1rr3/pp1b4/3N1p2/1qb1p1p1/3nP2p/5P1P/P4KPB/2RQ3R w - - 4 23,"[None, 'd6b5', 'd4c2']"
1k1rr3/pp6/5p2/1bb1p1p1/3nP2p/5P1P/P4KPB/2RQ3R w - - 0 24,"[None, 'c1c5', 'a7a6']"
1k1rr3/pp6/b1n2p2/2R1p1p1/4P2p/1Q3P1P/P4KPB/7R w - - 3 26,"[None, 'c5c6', 'd8d2']"
1k1r4/pp6/b1n2p2/2R1p1p1/4P2p/1Q3P1P/P2r2PB/4R1K1 w - - 7 28,"[None, 'c5c6', 'd2d1', 'e1d1', 'd8d1', 'b3d1', 'b7c6']"
rnbq1rk1/ppp2ppp/4pn2/8/2BP1B2/2b1PN2/PP3PPP/R2QK2R w KQ - 0 8,"[None, 'b2c3', 'b7b6']"
r2q1rk1/pp1b1ppp/2p1pn2/n3N3/3P1B2/2PBP3/P4PPP/R2Q1RK1 w - - 0 12,"[None, 'f4g5', 'd8e8', 'g5f6', 'g7f6', 'e5d7', 'e8d7', 'd1g4', 'g8h8', 'g4e4', 'f6f5', 'e4e5', 'f7f6', 'e5a5', 'e6e5']"
r2q1rk1/pp1b1pp1/2p1pn1p/n3N1B1/3P4/2PBP3/P4PPP/R2Q1RK1 w - - 0 13,"[None, 'g5f6', 'd8f6', 'e5d7', 'f6e7']"
r2q1rk1/pp1b1p2/2p1pn1p/n3N1p1/3P3B/2PBP3/P4PPP/R2Q1RK1 w - - 0 14,"[None, 'h4g3', 'd7e8', 'f2f4', 'f6h7', 'f4g5', 'd8g5', 'd3h7']"
r2q1r2/pp1b1pk1/2p1pn1p/n5pQ/3P2N1/2PBP1B1/P4PPP/R4RK1 w - - 6 17,"[None, 'h5h6', 'g7g8', 'g4f6', 'd8f6', 'h6h7']"
r2q3r/pp1b1pk1/2p1pB1p/n5pQ/3P2N1/2PBP3/P4PPP/R4RK1 b - - 0 18,"[None, 'd8f6', 'g4f6', 'g7f6', 'f2f4']"
r6r/pp1b1pk1/2p1pq1p/n5pQ/3P2N1/2PBP3/P4PPP/R4RK1 w - - 0 19,"[None, 'g4f6', 'g7f6']"
r6r/p3k3/4p2p/nb3p2/3P2p1/2P1P3/4QPPP/1R3RK1 w - - 0 26,"[None, 'e2b5', 'h8b8', 'b5b8', 'a8b8', 'b1b8', 'a5c4']"
r7/p3k3/4p2p/Q4p2/3P2p1/2P1P3/5PPP/1r3RK1 w - - 0 28,"[None, 'f1b1', 'e7f7']"
r7/p7/4p3/Q4p1p/3P2k1/2P1P3/6PP/5RK1 w - - 0 32,"[None, 'a5e5', 'h5h4', 'e5e6', 'g4g5', 'f1f5', 'g5g4']"
r7/8/4p3/p4p1p/1Q1P2k1/2P1P3/6PP/5RK1 w - - 0 33,"[None, 'b4e7', 'h5h4', 'e7e6', 'h4h3', 'e6f5', 'g4h4']"
2r5/8/4p3/p4p1p/Q2P2k1/2P1P3/6PP/5RK1 w - - 2 34,"[None, 'a4d7', 'c8g8', 'd7e6', 'g4g5', 'f1f5', 'g5h4', 'e6g8', 'a5a4']"
r1bq1rk1/pp1pbpp1/5n1p/4p3/2PnP2B/2NB1N2/PP1Q1PPP/R4RK1 w - - 2 12,"[None, 'f3d4']"
r4rk1/pp3pp1/2nq3p/3b4/2P1P3/3B4/PP1Q1PPP/R3R1K1 w - - 0 19,"[None, 'e4d5', 'c6e5']"
r4rk1/pp3pp1/3q2np/3P4/2P5/8/PP1Q1PPP/RB2R1K1 w - - 3 21,"[None, 'b1g6']"
2r2rk1/pp3pp1/3q3p/3P4/2n5/P7/1P1QBPPP/R3R1K1 w - - 0 24,"[None, 'e2c4']"
3r2k1/5pp1/p2q3p/8/4Q3/P6P/1r3PP1/3RR1K1 b - - 1 31,"[None, 'd6d1', 'e1d1']"
3r2k1/5pp1/p2q3p/8/4Q3/P6P/3r1PP1/3RR1K1 w - - 2 32,"[None, 'd1d2']"
3r3k/6p1/p6p/8/8/7P/5qP1/5RK1 w - - 0 40,"[None, 'f1f2', 'd8a8']"
