FEN,Moves
r1b2rk1/2q4p/p3p1pQ/1p1p1p2/1P3P2/PBB5/6PP/2R2nK1 w - - 0 22,"[None, 'g1f1', 'f8f7']"
r1b2rk1/7p/pq2p1pQ/1p1pBp2/1P3P2/PB6/6PP/2R2nK1 w - - 2 23,"[None, 'g1f1', 'f8f7']"
r1b2rk1/pp3ppp/4p3/2b5/B2nnB2/3P3q/PP3P1P/R2QKR2 w Q - 0 17,"[None, 'd3e4', 'd4f3']"
r1br2k1/5ppp/p3p3/1p2B3/B2bP3/7q/PP2KP1P/R5Q1 w - - 2 23,"[None, 'g1g7']"
3r2k1/1b3ppp/p3p3/1p6/3rP3/5P1q/PPB1K2P/R5Q1 w - - 1 26,"[None, 'g1d4']"
3r2k1/1b3ppp/p3p3/1p6/4P3/5P1q/PPB1K2P/3r2Q1 w - - 0 27,"[None, 'g1d1', 'd8c8']"
6k1/5p1p/4p2K/1p3P2/4b3/p2r4/8/8 b - - 0 41,"[None, 'e6f5', 'h6h5']"
rnbqk2r/pp3ppp/2p1pn2/3p2B1/2PP4/P1b2N2/1P2PPPP/R2QKB1R w KQkq - 0 7,"[None, 'b2c3', 'b8d7']"
5rk1/5qp1/4p2p/QB3p2/1n1P2n1/2r1PbB1/5PPP/R3R1K1 w - - 0 26,"[None, 'a5b4', 'f3g2', 'g1g2', 'c3c2']"
5rk1/5qp1/4p2p/1B3p2/1Q1P2n1/4PbB1/2r2PPP/R3R1K1 w - - 1 27,"[None, 'g2f3', 'f5f4', 'e3f4', 'g4f2']"
5rk1/6p1/4p2p/1B3p1q/1Q1P2n1/4PPB1/2r2P1P/R3R1K1 w - - 1 28,"[None, 'f3g4', 'h5f7']"
5rk1/6p1/4p2p/7q/1Q1P2p1/4P1B1/4rP1P/R3R1K1 w - - 0 30,"[None, 'e1e2', 'h5f7']"
8/5rpk/4p1qp/8/3PQ1p1/4P1B1/4RP1P/R5K1 w - - 7 34,"[None, 'e4g6']"
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,"[None, 'c3e4', 'g8f6', 'e4f6']"
rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,"[None, 'e4f6']"
r2qr1k1/4bppp/2p1bp2/1p6/2nP1B2/P7/2P1BPPP/QNKR3R w - - 4 20,"[None, 'e2c4']"
r2qr1k1/4bppp/2p1bp2/1p6/2nP1B2/P1Q5/2P1BPPP/1NKR3R b - - 5 20,"[None, 'e7a3', 'b1a3', 'a8a3', 'c3a3']"
r3r1k1/4bppp/2p1bp2/qp6/2nP1B2/P1Q5/2P1BPPP/1NKR3R w - - 6 21,"[None, 'c3a5', 'a8a5', 'e2c4']"
4r1k1/4bppp/2p1bp2/rp6/2nP1B2/P7/2P1BPPP/1NKR3R w - - 0 22,"[None, 'e2c4']"
r2q1rk1/ppp1bppp/2n1pn2/3pN2b/3P1B2/2N1P2P/PPP1BPP1/R2QK2R w KQ - 5 9,"[None, 'e2h5', 'c6e5', 'd4e5', 'f6h5', 'd1h5', 'd5d4', 'e3d4', 'f7f5']"
r2q1rk1/ppp1bppp/2n1p3/3pN2n/3P1B2/2N1P2P/PPP2PP1/R2QK2R w KQ - 0 10,"[None, 'd1h5', 'c6e5', 'f4e5', 'f7f6']"
r2q1rk1/ppp1bppp/4p3/3pn2Q/3P1B2/2N1P2P/PPP2PP1/R3K2R w KQ - 0 11,"[None, 'f4e5', 'c7c5']"
r2q1rk1/ppp2ppp/4pb2/3pB2Q/3P4/2N1P2P/PPP2PP1/R3K2R w KQ - 1 12,"[None, 'e5f6']"
r2q1rk1/pp3ppp/2p1pb2/3pB2Q/3P4/2N1P2P/PPP2PP1/2KR3R w - - 0 13,"[None, 'e5f6']"
r2q1rk1/pp3ppp/2p1p3/3pb2Q/3P2P1/2N1P2P/PPP2P2/2KR3R w - - 0 14,"[None, 'h5e5', 'b7b5']"
r4rk1/7q/2p1p1p1/1p1pPpN1/p5P1/4P2P/PPP2P2/2KR3R w - - 0 21,"[None, 'g5h7', 'g8h7']"
r4r2/8/4p3/1pppP2k/6R1/pP2P3/P1P2P2/2K3R1 b - - 0 29,"[None, 'f8f2', 'g4g7', 'h5h6', 'g1g6', 'h6h5', 'g6g5', 'h5h6', 'g5g6']"
r2qkb1r/ppp1pppp/2n5/5b2/3P4/2n1PN2/PP3PPP/R1BQKB1R w KQkq - 0 7,"[None, 'b2c3', 'e7e6']"
2kr1b1r/ppp2ppp/2n3b1/3qp3/3P4/2P1PB2/P2N1PPP/R1BQ1RK1 w - - 0 12,"[None, 'f3d5', 'd8d5']"
2k4r/p1p1bppp/6b1/1p1rn3/3P4/4P3/PN1B1PPP/R2Q1RK1 w - - 4 17,"[None, 'd4e5', 'h8d8']"
rnbqk1nr/ppp2ppp/4p3/3p4/2PP4/P1b5/1P2PPPP/R1BQKBNR w KQkq - 0 5,"[None, 'b2c3', 'g8f6', 'c4d5', 'e6d5']"
r4r2/p1p2p1k/1pn1qp1p/4p2Q/3PP3/P1P1R3/5PPP/RB4K1 w - - 6 23,"[None, 'd4d5', 'e6d7', 'd5c6', 'd7d2']"
r5r1/p1p2p1k/1pn1qp1p/4p2Q/3PP3/P1P3R1/5PPP/RB4K1 w - - 8 24,"[None, 'd4d5', 'g8g3', 'h2g3', 'e6d6', 'h5f7', 'h7h8', 'd5c6', 'a8f8']"
6r1/p1p2p1k/1p3pnp/4qQ2/4P3/P1P4P/B4PP1/R5K1 w - - 1 29,"[None, 'a2f7', 'g8g7', 'f7g6']"
8/p1p3rk/1p3p1p/4P3/5n2/PQ5P/B4PPK/q7 b - - 0 33,"[None, 'g7g2']"
r2q1rk1/pp3ppp/2n2n2/bN2pb2/8/BBPP1N1P/P2Q1PP1/R3K2R b KQ - 2 16,"[None, 'd8d3', 'd2d3', 'f5d3', 'a3f8']"
r2qr1k1/pp3ppp/2n2n2/bN2p3/8/BBPb1N1P/P2Q1PP1/R4RK1 w - - 0 18,"[None, 'b3f7', 'g8h8', 'f7e8', 'f6e4', 'd2e3', 'a5b6', 'b5d4', 'd3f1', 'e3e4', 'd8e8', 'd4c6', 'f1d3', 'e4d3', 'e5e4']"
r2qr1k1/pp3ppp/2n2n2/bN4N1/B3p3/B1Pb3P/P2Q1PP1/R4RK1 b - - 1 19,"[None, 'd3b5', 'd2d8']"
r2qr1k1/pp3ppp/2n5/1N1n2N1/B3p3/B1bb1P1P/P2Q2P1/R4RK1 w - - 0 21,"[None, 'b5c3']"
r2qr1k1/pp3ppp/2n5/3n2N1/B3p3/B1N2P1P/P2Q2P1/R4bK1 w - - 0 22,"[None, 'd2d5', 'f1c4', 'd5d8', 'a8d8', 'g5e4', 'e8e6']"
r4rk1/pp3Npp/8/4n3/3qpQ2/BB1b1P1P/P5PK/R7 w - - 1 27,"[None, 'f4e5', 'd4e5', 'f7e5', 'g8h8', 'f3e4', 'f8f4']"
r4r1k/pp4pp/8/4N3/3qpQ2/BB1b1P1P/P5PK/R7 w - - 1 28,"[None, 'e5g6', 'h7g6', 'f4h4']"
r6k/pp3rpp/8/8/3qpQ2/BB1b1P1P/P5PK/R7 w - - 0 29,"[None, 'f4f7', 'e4f3', 'a1e1', 'd3e4']"
r4B1k/pp3Qpp/8/4q3/4pP2/1B1b3P/P5PK/8 b - - 0 31,"[None, 'e5f4', 'f7f4']"
r4B1k/pp3Qpp/8/4q3/2b1pP2/1B5P/P5PK/8 w - - 1 32,"[None, 'b3c4', 'e5f4', 'f7f4', 'h7h6', 'f8g7', 'h8g7', 'f4f7', 'g7h8', 'f7g6', 'e4e3', 'g6h6']"
r4B1k/pp3Qpp/8/4q3/2B1pP2/7P/P5PK/8 b - - 0 32,"[None, 'e5f4', 'f7f4']"
r4B1k/pp3Qpp/8/8/2B1pq2/7P/P5PK/8 w - - 0 33,"[None, 'f7f4', 'h7h6', 'f4f7', 'a8f8', 'f7f8', 'h8h7']"
r4B2/pp3Qpk/7p/8/2B1p3/7P/P5PK/8 w - - 2 35,"[None, 'f7g7']"
r4BQ1/pp4p1/6kp/8/2B1p3/7P/P5PK/8 w - - 4 36,"[None, 'g8f7', 'g6h7', 'f7g7']"
r4BQ1/pp3Bp1/5k1p/8/4p3/7P/P5PK/8 w - - 6 37,"[None, 'g8g7', 'f6f5', 'f8d6', 'e4e3']"
r4BQ1/pp4p1/4B2p/4k3/4p3/7P/P5PK/8 w - - 8 38,"[None, 'g8g7', 'e5e6', 'g7e7', 'e6f5', 'e7c5', 'f5g6', 'c5d6', 'g6f7', 'd6e7', 'f7g6', 'e7e6', 'g6g5', 'f8g7', 'e4e3', 'e6g4']"
r1bq1rk1/ppp2ppp/2n1pn2/8/1bBP4/P1N1PN2/1P3PPP/R1BQK2R w KQ - 1 8,"[None, 'a3b4', 'e6e5']"
r2qkbnr/pp3ppp/2n1p3/1BppP3/3P2b1/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 7,"[None, 'b5c6']"
r2qkb1r/pp2nppp/2n1p3/1BppP3/3P4/2P2b1P/PP3PP1/RNBQ1RK1 w kq - 0 9,"[None, 'd1f3', 'd8b6', 'b5c6', 'e7c6', 'd4c5', 'f8c5']"
r3kb1r/p4ppp/2p1p3/3pP3/3n4/4BQ1P/Pq1N1PP1/R2R2K1 w kq - 0 15,"[None, 'e3d4']"
5r1k/pqr4p/4Qbp1/6N1/3p4/2p2R2/P4PP1/5RK1 w - - 3 33,"[None, 'f3f6', 'f8b8']"
5r1k/pq3r1p/4QRp1/6N1/3p4/2p5/P4PP1/5RK1 w - - 1 34,"[None, 'f6f7', 'f8f7', 'g5f7', 'h8g7']"
7k/pq3r1p/4QRp1/8/3p4/2p5/P4PP1/5RK1 w - - 0 35,"[None, 'f6f7', 'b7f7', 'e6f7', 'h7h5', 'f1b1', 'c3c2', 'b1b8']"
7k/pq3R1p/4Q1p1/8/3p4/2p5/P4PP1/5RK1 b - - 0 35,"[None, 'b7f7', 'e6f7']"
2q4k/p4R1p/4Q1p1/8/3p4/2p5/P4PP1/5RK1 w - - 1 36,"[None, 'e6c8']"
r2qkb1r/ppp2ppp/2n1pn2/8/2pPP3/2N2b1P/PP2BPP1/R1BQK2R w KQkq - 0 8,"[None, 'g2f3', 'c6d4', 'e2c4', 'f8c5']"
r2qk2r/ppp2ppp/2n1pn2/8/2pPP3/P1b2B1P/1P3PP1/R1BQK2R w KQkq - 0 10,"[None, 'b2c3', 'e8g8']"
r4rk1/pp4pp/2p1p3/8/2p1B2q/P1Pn3P/2Q2PP1/R1BR2K1 w - - 4 18,"[None, 'e4d3', 'a8d8', 'd3c4', 'd8d1', 'c2d1']"
r5k1/pp4pp/4pq2/2B5/P1p5/2P3P1/3Kr3/R7 w - - 0 29,"[None, 'd2e2', 'f6c3']"
r2qk1nr/pp3ppp/2n1p3/2bpP3/3N2b1/8/PPP1BPPP/RNBQK2R w KQkq - 0 8,"[None, 'd4c6', 'd8h4', 'g2g3', 'g4e2', 'd1e2', 'h4a4', 'b2b4', 'c5b6', 'c6a5']"
r2qk1nr/p4ppp/2p1p3/2bpP3/6b1/8/PPP1BPPP/RNBQK2R w KQkq - 0 9,"[None, 'e2g4', 'd8c7']"
r4rk1/p4ppp/2p1p3/2bpq1BP/6P1/2N5/PPPQnP2/2KR3R w - - 0 18,"[None, 'c3e2', 'a8b8']"
r4rk1/p4p1p/2p1p1pP/3p1qP1/3b1B2/8/PPP1N3/2KR3R w - - 0 23,"[None, 'd1d4', 'e6e5']"
1r3rk1/p4p1p/2p1p1pP/3p2q1/3N4/8/PPP5/1K1R2R1 b - - 1 26,"[None, 'b8b2', 'b1b2']"
1rr3k1/p4p1p/2N1p1pP/3p4/5q2/8/PPP5/1K1R2R1 w - - 1 28,"[None, 'c6b8', 'f4h6']"
1rr3k1/p1q2p1p/2N1p1pP/3p4/8/8/PPP5/1K3RR1 w - - 3 29,"[None, 'c6b8', 'c7c2']"
1rr3k1/p4p1p/4p1pP/3p4/3N4/1P6/P1P2q2/1K4R1 b - - 1 33,"[None, 'f2g1', 'b1b2', 'g1d4', 'b2c1', 'c8c2', 'c1c2']"
rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/P1b2N2/1P2PPPP/R1BQKB1R w KQkq - 0 6,"[None, 'b2c3', 'e8g8']"
r3k2r/p1p2ppp/4pn2/qb6/1n1P4/P3P3/1B1N1PPP/R2QKB1R w KQkq - 0 13,"[None, 'a3b4', 'a5b6']"
r4rk1/p1p2ppp/q3pn2/8/3P4/B3P3/3N1PPP/1R1QK2R w K - 4 17,"[None, 'a3f8']"
4q1k1/pRQ2rp1/4p2p/4Np2/3P4/4P3/3n1PPP/5RK1 w - - 3 25,"[None, 'e5f7', 'e8f8']"
4q1k1/pRQ2Np1/4p2p/5p2/3P4/4P3/5PPP/5nK1 w - - 0 26,"[None, 'f7h6', 'g8h8', 'c7g7']"
r2q1rk1/pp3ppp/2nbpn2/3pN2b/3P4/2N1B2P/PPPQBPP1/R3K2R w KQ - 6 11,"[None, 'e5c6', 'b7c6', 'e2h5']"
r2q1rk1/p4ppp/2p1pn2/3p4/3P1bP1/2N4P/PPPQ1P2/R3K2R w KQ - 0 15,"[None, 'd2f4', 'a8b8']"
2r2rk1/p4ppp/4p3/2qp2PP/4nQ2/2N5/PPP2P2/R4RK1 w - - 0 21,"[None, 'c3e4']"
2r2rk1/p4ppp/4p3/5q2/5P2/5R2/PPP3Q1/R5K1 b - - 2 25,"[None, 'c8c2', 'g2c2']"
5rk1/p4ppp/4p3/5q2/5P2/5R2/PPr3Q1/R5K1 w - - 0 26,"[None, 'g2c2']"
2r3k1/p4ppp/4p3/3q4/5P1Q/8/Pr4R1/5R1K b - - 17 35,"[None, 'd5g2']"
r2qk2r/ppp2ppp/6b1/3pn3/1b1PnBP1/2NBP2P/PP3P2/R2QK2R w KQkq - 0 12,"[None, 'f4e5', 'e4c3', 'b2c3']"
r2qk2r/ppp2ppp/6b1/3pB3/1b1P2P1/2nBP2P/PP3P2/R2QK2R w KQkq - 0 13,"[None, 'b2c3']"
r2q1rk1/ppp2ppp/6b1/3pB3/3P2P1/3BP2P/P3KP2/Q6R w - - 1 16,"[None, 'd3g6']"
r2q1rk1/pp3ppp/2p3b1/3pB3/3P2P1/3BP2P/P3KP2/Q1R5 w - - 0 17,"[None, 'd3g6']"
r4rk1/pp4pp/2p3p1/3pB3/3P2P1/3KP2P/P7/1Q3q2 w - - 0 21,"[None, 'b1f1']"
r2q1rk1/ppp1npp1/2nb2bp/4p3/2BPP2B/P1N2N2/1P3PPP/R2Q1RK1 w - - 0 12,"[None, 'f3e5', 'c6e5', 'd4e5', 'd6e5', 'd1d8', 'f8d8', 'h4e7', 'd8e8', 'e7c5', 'e5c3', 'b2c3']"
r2q1rk1/ppp1npp1/2n3bp/4b3/2B1P2B/P1N2N2/1P3PPP/R2Q1RK1 w - - 0 13,"[None, 'd1d8', 'a8d8', 'h4e7', 'e5c3', 'e7d8', 'c3b2']"
r1q2rk1/ppp1npp1/2n4p/4Pb2/7B/P1N5/BP3PPP/R2QR1K1 w - - 1 17,"[None, 'h4e7']"
r4rk1/pppqnp2/2n2Bp1/4Pb1p/8/P1N1Q3/BP3PPP/R3R1K1 w - - 2 20,"[None, 'e3h6', 'h5h4']"
r2qk2r/ppp1bppp/2n1p3/5bB1/3Pn3/2N5/PPPQ2PP/2KR1BNR w kq - 0 9,"[None, 'c3e4', 'f5e4', 'g5e7']"
r2qk2r/ppp2ppp/2n1p3/5bb1/3PN3/8/PPPQ2PP/2KR1BNR w kq - 0 10,"[None, 'e4g5', 'd8d6']"
3r1rk1/ppp2ppp/4p3/5b2/8/5N1P/PP4P1/2K1nBNR w - - 0 15,"[None, 'f3e1', 'd8d5']"
2r2rk1/5ppp/p1N1p3/1pp2b2/8/7P/PP4P1/2K1NB1R w - - 2 19,"[None, 'c6e7', 'g8h8', 'e7c8']"
2r2r1k/4Nppp/p3p3/1pp2b2/8/7P/PP4P1/2K1NB1R w - - 4 20,"[None, 'e7c8']"
rn1qkb1r/ppp1pppp/5n2/8/2pP4/2N1Pb2/PP3PPP/R1BQKB1R w KQkq - 0 6,"[None, 'd1f3', 'b8c6', 'f1c4', 'a7a6']"
r2qk2r/ppp2ppp/3bpn2/8/3P4/n1NBPQ2/1P3PPP/1RB2RK1 w kq - 0 12,"[None, 'b2a3', 'd6h2', 'g1h2', 'e8g8']"
r2q1rk1/p1p2ppp/1p1bp3/3nP3/3P4/P1NB1Q2/5PPP/1RB2RK1 w - - 1 15,"[None, 'c3d5', 'e6d5', 'e5d6', 'h7h6', 'd6c7', 'd8c7', 'c1h6', 'c7c6', 'h6g7']"
3rr1k1/p1q2p1p/1p3QpB/3n4/3p4/P2B4/5PPP/2R2RK1 w - - 2 23,"[None, 'f6g7']"
r2qk2r/pbppnpbp/1p2p1p1/8/2PPPB2/PnN2N2/1PQ2PPP/R3KB1R w KQkq - 3 10,"[None, 'c2b3', 'f7f5']"
r2q1rk1/pb4bp/1p1pp1n1/2p1N3/2PPpB2/PQN5/1P3PP1/2KR1B1R w - - 0 16,"[None, 'e5g6']"
r4rk1/pb4b1/1p1p1qpB/4p3/2PppP2/PQN5/1P2B1P1/2KR3R w - - 0 20,"[None, 'c4c5', 'd6d5', 'c3d5', 'b7d5', 'b3d5', 'f6f7', 'd5e4', 'g7h6', 'h1h6', 'f7f4', 'e4f4']"
3r4/pb1P1rk1/1p3qp1/8/4pp2/PQP5/1K2B1P1/3R3R b - - 2 25,"[None, 'f7d7', 'd1d7']"
r2q1rk1/p1p2ppp/1pn2bb1/3pp3/3P2P1/PN1BPN1P/1PP2P2/R2QK2R w KQ - 0 13,"[None, 'd3b5', 'd8d6', 'b5c6']"
r2q1rk1/p1p3pp/1pn2bp1/3pp3/3P2P1/PN2PN1P/1PP2P2/R2QK2R w KQ - 0 14,"[None, 'd4e5', 'c6e5', 'f3e5']"
r2q1rk1/p1p3pp/1p3bp1/3pn3/6P1/PN2PN1P/1PP2P2/R2QK2R w KQ - 0 15,"[None, 'f3e5']"
r3r1k1/p5pp/1p4p1/1qpR4/3b2P1/P4Q1P/1PP5/1K1R4 w - - 3 26,"[None, 'd1d4', 'b5e2', 'f3e2', 'e8e2']"
r3r1k1/p5pp/1p4p1/1q1R4/3p2P1/P4Q1P/1PP5/1K6 w - - 0 27,"[None, 'd5b5', 'a8d8']"
3r1r1k/p5pp/1p4p1/4q3/6P1/PQ5P/1PP5/1K1R4 w - - 7 31,"[None, 'd1d8', 'e5e1']"
5r2/p5pk/2Q3pp/1p6/2q3P1/P6P/KPP5/8 w - - 2 40,"[None, 'c6c4']"
2kr1bnr/1pp1ppp1/3q4/p1N4p/Pn1P2b1/BP1BPN2/5PPP/R2Q1RK1 w - - 0 14,"[None, 'a3b4', 'a5b4', 'a4a5', 'd6c5', 'd4c5', 'h8h6']"
2kr1bnr/2pqppp1/1p6/p6p/Pn1PN1b1/BP1BPN1P/5PP1/R2Q1RK1 w - - 2 16,"[None, 'h3g4', 'f7f6', 'a3b4', 'h5g4']"
2kr1bnr/2pqppp1/1p6/p7/Pn1PN1p1/BP1BPN2/5PP1/R2Q1RK1 w - - 0 17,"[None, 'f3e5', 'd7e6', 'a3b4', 'e6h6']"
2kr1bnr/2p1ppp1/1p2q3/p3N3/Pn1PN1p1/BP1BP3/5PP1/R2Q1RK1 w - - 2 18,"[None, 'a3b4', 'e6h6', 'd1g4', 'c8b7']"
2kr1bnr/2p1ppp1/1p5q/p3N3/PnBPN1p1/BP2P3/5PP1/R2Q1RK1 w - - 4 19,"[None, 'd1g4', 'e7e6', 'g4h3', 'd8d5', 'e5f7', 'h6h3', 'g2h3', 'h8h5', 'c4d5', 'e6d5']"
r2q1rk1/pp2bppp/2n1p1n1/1B1pP3/3B2b1/2P2NP1/PP2N2P/R2Q1RK1 w - - 1 15,"[None, 'b5c6']"
r2q1rk1/pp2bppp/4p1n1/1B1pP3/Q2n2b1/2P2NP1/PP2N2P/R4RK1 w - - 0 16,"[None, 'c3d4', 'd8b6']"
r2q1rk1/1p2bppp/p3p1n1/1B1pP3/3Q2b1/2P2NP1/PP2N2P/R4RK1 w - - 0 17,"[None, 'd4g4', 'e7c5']"
2r2rk1/1p4pp/pq2p3/3p1b2/3P3Q/3BK1P1/PP5P/R7 w - - 1 27,"[None, 'd3f5']"
rn1qk1nr/ppp2ppp/4p1b1/8/2BPP3/P1b2N2/1P3PPP/R1BQK2R w KQkq - 0 8,"[None, 'b2c3']"
rn1qk2r/ppp1npp1/2b1p2p/6B1/2BP4/P1P2N2/5PPP/R2QR1K1 w kq - 0 12,"[None, 'g5e7']"
rn1qk2r/ppp2p2/2b1p2p/5np1/2BP4/P1P2NB1/5PPP/R2QR1K1 w kq - 2 14,"[None, 'd4d5', 'f5g3', 'h2g3', 'e8g8', 'd5c6', 'd8d1', 'c6b7', 'd1a1', 'b7a8q']"
rn1qk2r/ppp2p2/2b1p2p/4N1p1/2BP4/P1P3n1/5PPP/R2QR1K1 w kq - 0 15,"[None, 'f2g3', 'b8d7']"
2kr3r/pp3p2/2p2q2/3B2pp/2n5/P5P1/3Q2PP/2R1R1K1 w - - 0 23,"[None, 'c1c4', 'c8b8']"
r2q1rk1/p4pp1/1pn1pn1p/3p3b/3P4/P1b2NBP/1PP1BPP1/R2Q1RK1 w - - 0 15,"[None, 'b2c3', 'f6e4']"
r2qr1k1/p4pp1/1pn1pn1p/3p4/3P4/P1PB1bBP/2P2PP1/R2Q1RK1 w - - 0 17,"[None, 'd1f3', 'f6e4', 'd3e4', 'd5e4', 'f3e4', 'd8d5']"
r2qr1k1/p4pp1/1p3n1p/3pn3/8/P1PB1QBP/2P2PP1/R4RK1 w - - 0 19,"[None, 'g3e5']"
5r1k/p3r1p1/1p5p/8/P2Q4/R3P1RP/2P3PK/3q4 w - - 3 33,"[None, 'd4d1', 'f8e8']"
r2qkbnr/1pp1pppp/p1n1b3/8/P1pP4/2N1P3/1P3PPP/R1BQKBNR w KQkq - 1 6,"[None, 'd4d5', 'e6g4', 'd1g4', 'c6b4']"
r2qkb1r/2p1pppp/p1n1bn2/1p6/P1pP4/2N1PP2/1P2B1PP/R1BQK1NR w KQkq - 0 8,"[None, 'a4b5', 'a6b5', 'a1a8']"
r2qkb1r/2p1pppp/p1n1bn2/1P6/2pP4/2N1PP2/1P2B1PP/R1BQK1NR b KQkq - 0 8,"[None, 'a6b5', 'a1a8']"
r2qkb1r/2p1pppp/2n1bn2/1p6/2pP4/2N1PP2/1P2B1PP/R1BQK1NR w KQkq - 0 9,"[None, 'a1a8']"
4kb1r/1qp1pppp/2n1b3/1N6/Q1BP4/4nP2/1P4PP/2B1K1NR w Kk - 0 13,"[None, 'c4e6', 'e3c2', 'a4c2', 'b7b5']"
4kb1r/1qp1pppp/2n5/1N6/Q1bP4/4BP2/1P4PP/4K1NR w Kk - 0 14,"[None, 'a4c4', 'e7e5']"
3k3r/2q2ppp/4p3/n7/Q2P4/4BPb1/1P4PP/5RK1 w - - 0 20,"[None, 'h2g3', 'd8e7']"
7r/2q1kppp/4p3/n7/Q2P4/4BPP1/1P4P1/2R3K1 b - - 2 21,"[None, 'c7c1', 'e3c1']"
r7/2R2kpp/1q2p3/n7/5B2/5PP1/6PK/Q7 b - - 7 29,"[None, 'b6c7', 'f4c7']"
r4k2/2R3pp/1q2p3/n7/5B2/5PP1/6PK/Q7 w - - 8 30,"[None, 'a1g7', 'f8e8']"
r1r3k1/p4ppp/1qp1pnb1/P2p4/1b1P4/1PQ1BN1P/2PN1PP1/R4RK1 b - - 0 16,"[None, 'b4c3', 'a5b6', 'a7b6', 'a1a8']"
r1r3k1/p4ppp/4pnb1/Pqpp4/R2P4/1P2BN1P/1QPb1PP1/5RK1 w - - 0 19,"[None, 'e3d2', 'c5c4']"
r3n1k1/p4ppp/2rNp3/P2p4/2b2B2/R6P/5PP1/1R4K1 w - - 6 30,"[None, 'd6e8']"
2r1r1k1/5ppp/pR6/P3B3/4p3/1b1p3P/5PP1/3R2K1 w - - 2 39,"[None, 'b6b3']"
r4rk1/2qbbpp1/1p2p2p/3nn3/1P1N4/1QN1P1B1/B4PPP/3R1RK1 w - - 5 18,"[None, 'c3d5']"
r4rk1/2qbbpp1/1p5p/3p4/1P6/1Q2PnB1/B4PPP/3R1RK1 w - - 0 20,"[None, 'g2f3', 'c7b7']"
r4rk1/3bbpp1/1p5p/3p4/1Pq5/1Q2PPB1/B4P1P/3R1RK1 w - - 1 21,"[None, 'b3c4', 'd5c4', 'd1d7', 'f8c8', 'a2c4', 'c8c4', 'd7e7', 'h6h5']"
r4rk1/3bbpp1/1p5p/8/1Pp5/4PPB1/B4P1P/3R1RK1 w - - 0 22,"[None, 'd1d7', 'a8a2', 'd7e7', 'f8c8']"
r4rk1/3bbpp1/7p/1p6/1PB5/4PPB1/5P1P/3R1RK1 w - - 0 23,"[None, 'd1d7', 'b5c4', 'd7e7', 'f7f5']"
5rk1/5pp1/5b1p/8/8/4PPB1/5P1P/q2R2K1 w - - 0 36,"[None, 'd1a1', 'f6a1']"
r1bqkbnr/pp2pppp/2n5/1BppP3/8/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,"[None, 'b5c6']"
r2qkbnr/pp2pppp/2n5/1BppP3/6b1/5N2/PPPPQPPP/RNB1K2R w KQkq - 4 6,"[None, 'b5c6']"
r2qkbnr/pp3ppp/2n1p3/1BppP3/6b1/5N2/PPPPQPPP/RNB2RK1 w kq - 0 7,"[None, 'b5c6']"
r2qk2r/pp2bppp/2n1p1n1/1BppP3/6b1/3P1N2/PPPBQPPP/RN3RK1 w kq - 5 10,"[None, 'b5c6']"
r2qk2r/pp2bppp/2n1p1n1/1BppP3/8/3P1b1P/PPPBQPP1/RN3RK1 w kq - 0 11,"[None, 'b5c6', 'b7c6', 'e2f3']"
r2qr1k1/pp3ppp/5b2/2B1p3/3n4/3P1Q1P/PP3PP1/RN2R1K1 w - - 0 19,"[None, 'c5d4']"
r5k1/pp3p1p/2q3r1/4Q3/8/3P3P/P4PP1/2R1R1K1 b - - 2 27,"[None, 'c6g2']"
r2qkb1r/pp3ppp/2n1pn2/3pN3/3P4/2N5/PPP1bPPP/R1BQ1RK1 w kq - 0 9,"[None, 'c3e2', 'c6e5', 'd4e5', 'f6d7']"
r2qkb1r/pp3ppp/2n1pn2/3pN3/8/2N5/PPPQ1PPP/R1B2RK1 w kq - 2 11,"[None, 'e5c6']"
2rq1rk1/p4ppp/2pbpn2/3p2B1/N7/2Q5/PPP2PPP/R3R1K1 w - - 8 16,"[None, 'g5f6', 'd8f6', 'c3f6']"
2r2rk1/p4ppp/2pbpq2/3p4/N7/2Q5/PPP2PPP/R3R1K1 w - - 0 17,"[None, 'c3f6']"
6rk/p4p1p/8/8/1bN5/3r1RP1/P4P1P/6K1 w - - 0 31,"[None, 'f3d3', 'g8c8']"
4r2k/p4p1p/8/8/1bN5/3R2P1/P4P1P/6K1 w - - 1 32,"[None, 'd3d7', 'e8e7', 'd7e7']"
6k1/p4p1p/8/8/P3R1K1/4b1P1/5r1P/8 w - - 4 41,"[None, 'e4e3', 'f2b2']"
6k1/p4p1p/5K2/8/r7/4R1P1/8/8 w - - 0 44,"[None, 'e3e8']"
r2qk1nr/pbp2ppp/1pn1p3/8/2BP4/P1b1PN2/1P3PPP/R1BQ1RK1 w kq - 0 9,"[None, 'b2c3', 'g8e7']"
r2qk2r/p1p2ppp/1p2pn2/8/P2Pb3/BnPBPN2/5PPP/R2Q1RK1 w kq - 5 13,"[None, 'd3e4', 'f6e4', 'd1b3', 'c7c5', 'd4c5', 'b6c5']"
